idx,tax1,tax2,tax3,company,address,city,lat,lng,website
195,Oil and Gas,Professional Services,,"Earth Solutions, Inc.","39W369 IL Route 64, St. Charles, IL 60175",St. Charles,41.931263,-88.378656,https://www.myearthsolutions.com/
196,Solar,Wind,Professional Services,Earth Wind and Solar Energy,"2350 W Grand Ave, Chicago, IL 60612",Chicago,41.890855,-87.686255,http://www.earthwindandsolarenergy.com/
197,Environmental Remediation,,,EarthShare Illinois,"35 E West Wacker Dr Suite 1600, Chicago, IL 60601",Chicago,41.886523,-87.626785,http://www.earthshare.org/earthshare-illinois/
198,Consulting,Architecture/Design,Evaluation/Compliance,Eco Achievers LLC,"1647 W Fulton St, Chicago, IL 60612",Chicago,41.88665,-87.668861,http://www.ecoachievers.com/
199,Solar,Professional Services,Finance,Eco Solar Solutions LLC,"5832 Cleveland St, Morton Grove, IL 60053",Morton Grove,42.030275,-87.773432,https://eco-solarsolutions.com/
200,Consulting,Solar,Professional Services,EcoLogical Products,"739 N Elmwood Ave, Oak Park, IL 60302",Oak Park,41.899579,-87.786997,http://ecopro.biz/ 
201,Consulting,Professional Services,Engineering,"Ecology and Environment, Inc.","33 W Monroe St Suite 1410, Chicago, IL 60603",Chicago,41.880287,-87.629048,http://www.ene.com/
202,Circular Economy,Built Environment,,Edgewater Environmental Sustainability Project,"1516 W Thorndale Ave Unit 1E, Chicago, IL 60660",Chicago,41.990176,-87.668364,http://www.sustainedgewater.org/chicagos-energy-codes.html
203,Nuclear,Engineering,Professional Services,"EDM Zap Parts, Inc.","1108 Front St, Lisle, IL 60532",Lisle,41.797076,-88.075304,http://www.edmzap.com/energy/
204,Wind,Solar,Construction,EDP Renewables North America,"134 N LaSalle St Suite 2050, Chicago, IL 60602",Chicago,41.884114,-87.633,https://www.edpr.com/en
205,Enabling Technologies/Components,Professional Services,Materials,EESCO,"2401 Internationale Pkwy, Woodridge, IL 60517",Woodridge,41.687473,-88.040291,https://buy.eescodist.com/
206,Law,,,Eimer Stahl LLP,"224 S Michigan Ave Suite 1100, Chicago, IL 60604",Chicago,41.878619,-87.624922,https://www.eimerstahl.com/
207,Enabling Technologies/Components,Materials,,EIS Inc.,"1620 Fullerton Ct, Chicago, IL 60139",Chicago,41.919547,-88.057243,https://www.eis-inc.com/
208,IoT/IIoT,Engineering,Manufacturing,"Elan Industries, Inc.","650 S Schmidt Rd Suite A, Bolingbrook, IL 60440",Bolingbrook,41.677442,-88.087494,http://elanindustries.com/
209,Engineering,Architecture/Design,Consulting,Elara Engineering,"30 N Wolf Rd Floor 2, Hillside, IL 60162",Hillside,41.870671,-87.902716,http://www.elaraeng.com/services-2/
210,Consulting,Energy Systems/Management,Engineering,Elaton Energy Services,"1144 Franklin Ln, Buffalo Grove, IL 60089",Buffalo Grove,42.172736,-87.989476,https://www.elatonnrg.com/
211,Media,,,Electric Association of Chicago,"17W733 Butterfield Rd Suite B, Oakbrook Terrace, IL 60181",Oakbrook Terrace,41.849468,-87.974726,https://www.eachicago.org/
212,Architecture/Design,Construction,Built Environment,Electrical 3D Construct LLC,"2003 W Huron Suite 1303, Chicago, IL 60612",Chicago,41.893865,-87.677244,http://electrical3dconstruct.com/
213,Biofuels,Manufacturing,Engineering,Elevance Renewable Sciences,"2501 Davey Rd, Woodridge, IL 60517 ",Woodridge,41.683258,-88.041449,https://elevance.com/
214,Consulting,Solar,Energy Efficiency,Elevate Energy,"322 S Green St Suite 300, Chicago, IL 60607",Chicago,41.876975,-87.648791,https://www.elevateenergy.org/
215,Utility/Grid,Generation/Transmission,Professional Services,"Eligo Energy, LLC","205 W Randolph St Suite 1040, Chicago, IL 60606",Chicago,41.883925,-87.634182,https://www.eligoenergy.com/
216,Oil and Gas,Generation/Transmission,,Elwood Energy,"24391 S Patterson Rd, Elwood, IL 60421",Elwood,41.442056,-88.116089,https://jpowerusa.com/projects/elwood-energy/
217,IoT/IIoT,Evaluation/Compliance,Finance,Enablon,"Willis Tower, 233 S Wacker Dr Suite 5420, Chicago, IL, 60606",Chicago,41.878865,-87.635918,https://enablon.com/
218,Generation/Transmission,Oil and Gas,,Enbridge Inc.,"13755 High Rd, Lockport, IL 60441",Lockport,41.64078,-88.044917,https://www.enbridge.com/
